Processing 236 SAP files with Claude extraction...
  [1/236] Processing NCT00044278... ✓ (20 endpoints, 0 methods)
  [2/236] Processing NCT00064428... ✓ (2 endpoints, 3 methods)
  [3/236] Processing NCT00139815... ✓ (2 endpoints, 2 methods)
  [4/236] Processing NCT00144846... ✓ (1 endpoints, 1 methods)
  [5/236] Processing NCT00197028... ✓ (1 endpoints, 1 methods)
  [6/236] Processing NCT00197119... ✓ (3 endpoints, 0 methods)
  [7/236] Processing NCT00224484... ✓ (1 endpoints, 1 methods)
  [8/236] Processing NCT00256854... ✓ (1 endpoints, 0 methods)
  [9/236] Processing NCT00263679... ✓ (1 endpoints, 1 methods)
  [10/236] Processing NCT00268203... ✓ (7 endpoints, 0 methods)
  [11/236] Processing NCT00268216... ✓ (1 endpoints, 1 methods)
  [12/236] Processing NCT00289185... ✓ (11 endpoints, 12 methods)
  [13/236] Processing NCT00306293... ✓ (1 endpoints, 1 methods)
  [14/236] Processing NCT00310388... ✓ (0 endpoints, 1 methods)
  [15/236] Processing NCT00312013... ✓ (1 endpoints, 1 methods)
  [16/236] Processing NCT00322335... ✓ (11 endpoints, 10 methods)
  [17/236] Processing NCT00334152... ✓ (1 endpoints, 1 methods)
  [18/236] Processing NCT00345579... ✓ (8 endpoints, 0 methods)
  [19/236] Processing NCT00354666... ✓ (1 endpoints, 0 methods)
  [20/236] Processing NCT00372112... ✓ (1 endpoints, 0 methods)
  [21/236] Processing NCT00381667... ✓ (7 endpoints, 0 methods)
  [22/236] Processing NCT00383123... ✓ (3 endpoints, 1 methods)
  [23/236] Processing NCT00410384... ✓ (1 endpoints, 0 methods)
  [24/236] Processing NCT00424476... ✓ (1 endpoints, 0 methods)
  [25/236] Processing NCT00444509... ✓ (1 endpoints, 0 methods)
  [26/236] Processing NCT00453479... ✓ (16 endpoints, 7 methods)
  [27/236] Processing NCT00459550... ✓ (1 endpoints, 0 methods)
  [28/236] Processing NCT00470834... ✓ (1 endpoints, 1 methods)
  [29/236] Processing NCT00502593... ✓ (10 endpoints, 8 methods)
  [30/236] Processing NCT00508365... ✓ (2 endpoints, 0 methods)
  [31/236] Processing NCT00515502... ✓ (0 endpoints, 2 methods)
  [32/236] Processing NCT00516139... ✓ (1 endpoints, 0 methods)
  [33/236] Processing NCT00522678... ✓ (1 endpoints, 1 methods)
  [34/236] Processing NCT00566020... ✓ (13 endpoints, 12 methods)
  [35/236] Processing NCT00586339... ✓ (0 endpoints, 10 methods)
  [36/236] Processing NCT00616928... ✓ (7 endpoints, 0 methods)
  [37/236] Processing NCT00622830... ✓ (2 endpoints, 0 methods)
  [38/236] Processing NCT00671216... ✓ (1 endpoints, 0 methods)
  [39/236] Processing NCT00674635... ✓ (3 endpoints, 0 methods)
  [40/236] Processing NCT00675090... ✓ (1 endpoints, 1 methods)
  [41/236] Processing NCT00693706... ✓ (10 endpoints, 4 methods)
  [42/236] Processing NCT00695305... ✓ (3 endpoints, 0 methods)
  [43/236] Processing NCT00711126... ✓ (1 endpoints, 0 methods)
  [44/236] Processing NCT00719043... ✓ (8 endpoints, 4 methods)
  [45/236] Processing NCT00721812... ✓ (1 endpoints, 1 methods)
  [46/236] Processing NCT00725712... ✓ (12 endpoints, 9 methods)
  [47/236] Processing NCT00725764... ✓ (5 endpoints, 3 methods)
  [48/236] Processing NCT00726323... ✓ (1 endpoints, 0 methods)
  [49/236] Processing NCT00731822... ✓ (2 endpoints, 2 methods)
  [50/236] Processing NCT00732472... ✓ (16 endpoints, 3 methods)
  [51/236] Processing NCT00733577... ✓ (1 endpoints, 1 methods)
  [52/236] Processing NCT00760617... ✓ (11 endpoints, 11 methods)
  [53/236] Processing NCT00772889... ✓ (8 endpoints, 0 methods)
  [54/236] Processing NCT00779766... ✓ (4 endpoints, 4 methods)
  [55/236] Processing NCT00784134... ✓ (5 endpoints, 5 methods)
  [56/236] Processing NCT00799903... ✓ (1 endpoints, 0 methods)
  [57/236] Processing NCT00811356... ✓ (1 endpoints, 0 methods)
  [58/236] Processing NCT00903201... ✓ (6 endpoints, 0 methods)
  [59/236] Processing NCT00907933... ✓ (1 endpoints, 0 methods)
  [60/236] Processing NCT00910962... ✓ (10 endpoints, 2 methods)
  [61/236] Processing NCT00920192... ✓ (2 endpoints, 0 methods)
  [62/236] Processing NCT00933335... ✓ (25 endpoints, 1 methods)
  [63/236] Processing NCT00937326... ✓ (0 endpoints, 0 methods)
  [64/236] Processing NCT00938041... ✓ (6 endpoints, 0 methods)
  [65/236] Processing NCT00938184... ✓ (1 endpoints, 1 methods)
  [66/236] Processing NCT00942162... ✓ (2 endpoints, 1 methods)
  [67/236] Processing NCT00950755... Claude extraction error: Error code: 500 - {'type': 'error', 'error': {'type': 'api_error', 'message': 'Internal server error'}, 'request_id': 'req_011CWxRtLS7X5n5wHUuEcfsh'}
✓ (5 endpoints, 0 methods)
  [68/236] Processing NCT00964340... ✓ (2 endpoints, 2 methods)
  [69/236] Processing NCT00972686... ✓ (5 endpoints, 5 methods)
  [70/236] Processing NCT00976105... ✓ (2 endpoints, 2 methods)
  [71/236] Processing NCT00984659... ✓ (0 endpoints, 4 methods)
  [72/236] Processing NCT00989664... ✓ (2 endpoints, 2 methods)
  [73/236] Processing NCT00992758... ✓ (1 endpoints, 1 methods)
  [74/236] Processing NCT00996593... ✓ (15 endpoints, 5 methods)
  [75/236] Processing NCT00996996... ✓ (4 endpoints, 0 methods)
  [76/236] Processing NCT01000857... ✓ (1 endpoints, 1 methods)
  [77/236] Processing NCT01018017... ✓ (41 endpoints, 0 methods)
  [78/236] Processing NCT01018186... ✓ (0 endpoints, 19 methods)
  [79/236] Processing NCT01018628... ✓ (2 endpoints, 0 methods)
  [80/236] Processing NCT01036022... ✓ (8 endpoints, 0 methods)
  [81/236] Processing NCT01036061... ✓ (2 endpoints, 0 methods)
  [82/236] Processing NCT01039961... ✓ (1 endpoints, 0 methods)
  [83/236] Processing NCT01059617... ✓ (12 endpoints, 6 methods)
  [84/236] Processing NCT01077531... ✓ (3 endpoints, 0 methods)
  [85/236] Processing NCT01128621... ✓ (0 endpoints, 9 methods)
  [86/236] Processing NCT01148459... ✓ (1 endpoints, 0 methods)
  [87/236] Processing NCT01154101... ✓ (6 endpoints, 4 methods)
  [88/236] Processing NCT01192191... ✓ (2 endpoints, 0 methods)
  [89/236] Processing NCT01209052... ✓ (1 endpoints, 0 methods)
  [90/236] Processing NCT01244984... ✓ (1 endpoints, 1 methods)
  [91/236] Processing NCT01258608... ✓ (1 endpoints, 1 methods)
  [92/236] Processing NCT01313676... ✓ (1 endpoints, 1 methods)
  [93/236] Processing NCT01332292... ✓ (15 endpoints, 5 methods)
  [94/236] Processing NCT01340911... ✓ (2 endpoints, 0 methods)
  [95/236] Processing NCT01358825... ✓ (10 endpoints, 9 methods)
  [96/236] Processing NCT01366534... ✓ (5 endpoints, 0 methods)
  [97/236] Processing NCT01367743... ✓ (1 endpoints, 1 methods)
  [98/236] Processing NCT01376167... ✓ (1 endpoints, 1 methods)
  [99/236] Processing NCT01376388... ✓ (2 endpoints, 0 methods)
  [100/236] Processing NCT01379937... ✓ (3 endpoints, 3 methods)
  [101/236] Processing NCT01381536... ✓ (1 endpoints, 1 methods)
  [102/236] Processing NCT01416324... ✓ (5 endpoints, 0 methods)
  [103/236] Processing NCT01428479... ✓ (2 endpoints, 2 methods)
  [104/236] Processing NCT01431976... ✓ (1 endpoints, 0 methods)
  [105/236] Processing NCT01462344... ✓ (2 endpoints, 2 methods)
  [106/236] Processing NCT01462357... ✓ (3 endpoints, 3 methods)
  [107/236] Processing NCT01475721... ✓ (2 endpoints, 1 methods)
  [108/236] Processing NCT01476046... ✓ (10 endpoints, 0 methods)
  [109/236] Processing NCT01484496... ✓ (1 endpoints, 1 methods)
  [110/236] Processing NCT01545570... ✓ (2 endpoints, 0 methods)
  [111/236] Processing NCT01551758... ✓ (1 endpoints, 1 methods)
  [112/236] Processing NCT01573000... ✓ (11 endpoints, 0 methods)
  [113/236] Processing NCT01573819... ✓ (11 endpoints, 10 methods)
  [114/236] Processing NCT01641692... ✓ (0 endpoints, 5 methods)
  [115/236] Processing NCT01648140... ✓ (0 endpoints, 0 methods)
  [116/236] Processing NCT01663714... ✓ (2 endpoints, 0 methods)
  [117/236] Processing NCT01702363... ✓ (2 endpoints, 0 methods)
  [118/236] Processing NCT01725126... ✓ (9 endpoints, 9 methods)
  [119/236] Processing NCT01777282... ✓ (2 endpoints, 0 methods)
  [120/236] Processing NCT01808482... ✓ (2 endpoints, 0 methods)
