Processing 236 SAP files with Claude extraction...
  [1/236] Processing NCT00044278... ✓ (ep:20 meth:0 cens:0 est:0)
  [2/236] Processing NCT00064428... ✓ (ep:2 meth:2 cens:0 est:2)
  [3/236] Processing NCT00139815... ✓ (ep:2 meth:2 cens:0 est:2)
  [4/236] Processing NCT00144846... ✓ (ep:1 meth:1 cens:0 est:0)
  [5/236] Processing NCT00197028... ✓ (ep:1 meth:0 cens:0 est:0)
  [6/236] Processing NCT00197119... ✓ (ep:3 meth:2 cens:0 est:0)
  [7/236] Processing NCT00224484... ✓ (ep:1 meth:1 cens:0 est:0)
  [8/236] Processing NCT00256854... ✓ (ep:1 meth:0 cens:0 est:0)
  [9/236] Processing NCT00263679... ✓ (ep:1 meth:1 cens:0 est:0)
  [10/236] Processing NCT00268203... ✓ (ep:7 meth:0 cens:0 est:0)
  [11/236] Processing NCT00268216... ✓ (ep:1 meth:1 cens:3 est:0)
  [12/236] Processing NCT00289185... ✓ (ep:11 meth:12 cens:0 est:0)
  [13/236] Processing NCT00306293... ✓ (ep:1 meth:1 cens:0 est:1)
  [14/236] Processing NCT00310388... ✓ (ep:0 meth:1 cens:1 est:0)
  [15/236] Processing NCT00312013... ✓ (ep:1 meth:1 cens:1 est:1)
  [16/236] Processing NCT00322335... ✓ (ep:11 meth:10 cens:0 est:0)
  [17/236] Processing NCT00334152... ✓ (ep:1 meth:1 cens:0 est:0)
  [18/236] Processing NCT00345579... ✓ (ep:8 meth:0 cens:0 est:0)
  [19/236] Processing NCT00354666... ✓ (ep:1 meth:0 cens:0 est:0)
  [20/236] Processing NCT00372112... ✓ (ep:1 meth:0 cens:0 est:0)
  [21/236] Processing NCT00381667... ✓ (ep:7 meth:0 cens:0 est:0)
  [22/236] Processing NCT00383123... ✓ (ep:3 meth:1 cens:0 est:0)
  [23/236] Processing NCT00410384... ✓ (ep:1 meth:0 cens:0 est:0)
  [24/236] Processing NCT00424476... ✓ (ep:1 meth:0 cens:0 est:1)
  [25/236] Processing NCT00444509... ✓ (ep:1 meth:1 cens:0 est:0)
  [26/236] Processing NCT00453479... ✓ (ep:16 meth:7 cens:0 est:0)
  [27/236] Processing NCT00459550... ✓ (ep:1 meth:0 cens:0 est:0)
  [28/236] Processing NCT00470834... ✓ (ep:1 meth:1 cens:2 est:1)
  [29/236] Processing NCT00502593... ✓ (ep:10 meth:6 cens:0 est:0)
  [30/236] Processing NCT00508365... ✓ (ep:2 meth:0 cens:0 est:0)
  [31/236] Processing NCT00515502... ✓ (ep:0 meth:2 cens:0 est:0)
  [32/236] Processing NCT00516139... ✓ (ep:1 meth:0 cens:0 est:0)
  [33/236] Processing NCT00522678... ✓ (ep:1 meth:1 cens:0 est:0)
  [34/236] Processing NCT00566020... ✓ (ep:13 meth:12 cens:0 est:0)
  [35/236] Processing NCT00586339... ✓ (ep:0 meth:10 cens:0 est:0)
  [36/236] Processing NCT00616928... ✓ (ep:7 meth:0 cens:0 est:0)
  [37/236] Processing NCT00622830... ✓ (ep:2 meth:0 cens:0 est:0)
  [38/236] Processing NCT00671216... ✓ (ep:1 meth:1 cens:0 est:0)
  [39/236] Processing NCT00674635... ✓ (ep:3 meth:0 cens:0 est:0)
  [40/236] Processing NCT00675090... ✓ (ep:1 meth:0 cens:0 est:0)
  [41/236] Processing NCT00693706... ✓ (ep:10 meth:4 cens:0 est:0)
  [42/236] Processing NCT00695305... ✓ (ep:3 meth:0 cens:0 est:0)
  [43/236] Processing NCT00711126... ✓ (ep:1 meth:0 cens:0 est:0)
  [44/236] Processing NCT00719043... ✓ (ep:8 meth:1 cens:0 est:0)
  [45/236] Processing NCT00721812... ✓ (ep:1 meth:1 cens:0 est:0)
  [46/236] Processing NCT00725712... ✓ (ep:12 meth:9 cens:0 est:0)
  [47/236] Processing NCT00725764... ✓ (ep:5 meth:0 cens:0 est:0)
  [48/236] Processing NCT00726323... ✓ (ep:1 meth:0 cens:0 est:0)
  [49/236] Processing NCT00731822... ✓ (ep:2 meth:1 cens:0 est:0)
  [50/236] Processing NCT00732472... ✓ (ep:16 meth:2 cens:0 est:0)
  [51/236] Processing NCT00733577... ✓ (ep:1 meth:1 cens:0 est:0)
  [52/236] Processing NCT00760617... ✓ (ep:11 meth:0 cens:0 est:0)
  [53/236] Processing NCT00772889... ✓ (ep:8 meth:0 cens:0 est:0)
  [54/236] Processing NCT00779766... ✓ (ep:4 meth:4 cens:0 est:0)
  [55/236] Processing NCT00784134... ✓ (ep:5 meth:5 cens:0 est:0)
  [56/236] Processing NCT00799903... ✓ (ep:1 meth:1 cens:0 est:1)
  [57/236] Processing NCT00811356... ✓ (ep:1 meth:1 cens:0 est:0)
  [58/236] Processing NCT00903201... ✓ (ep:6 meth:0 cens:0 est:0)
  [59/236] Processing NCT00907933... ✓ (ep:1 meth:0 cens:0 est:0)
  [60/236] Processing NCT00910962... ✓ (ep:10 meth:2 cens:0 est:0)
  [61/236] Processing NCT00920192... ✓ (ep:2 meth:0 cens:0 est:0)
  [62/236] Processing NCT00933335... ✓ (ep:0 meth:1 cens:0 est:0)
  [63/236] Processing NCT00937326... ✓ (ep:0 meth:6 cens:0 est:0)
  [64/236] Processing NCT00938041... ✓ (ep:6 meth:0 cens:0 est:0)
  [65/236] Processing NCT00938184... ✓ (ep:1 meth:1 cens:0 est:0)
  [66/236] Processing NCT00942162... ✓ (ep:2 meth:1 cens:0 est:1)
  [67/236] Processing NCT00950755... ✓ (ep:5 meth:0 cens:0 est:0)
  [68/236] Processing NCT00964340... ✓ (ep:2 meth:0 cens:0 est:0)
  [69/236] Processing NCT00972686... ✓ (ep:5 meth:5 cens:0 est:0)
  [70/236] Processing NCT00976105... ✓ (ep:2 meth:1 cens:0 est:0)
  [71/236] Processing NCT00984659... ✓ (ep:0 meth:4 cens:0 est:0)
  [72/236] Processing NCT00989664... ✓ (ep:2 meth:2 cens:1 est:2)
  [73/236] Processing NCT00992758... ✓ (ep:1 meth:1 cens:0 est:0)
  [74/236] Processing NCT00996593... ✓ (ep:15 meth:0 cens:0 est:0)
  [75/236] Processing NCT00996996... ✓ (ep:4 meth:0 cens:0 est:0)
  [76/236] Processing NCT01000857... ✓ (ep:1 meth:1 cens:0 est:0)
  [77/236] Processing NCT01018017... ✓ (ep:41 meth:0 cens:0 est:0)
  [78/236] Processing NCT01018186... ✓ (ep:0 meth:6 cens:0 est:0)
  [79/236] Processing NCT01018628... ✓ (ep:2 meth:0 cens:0 est:0)
  [80/236] Processing NCT01036022... ✓ (ep:8 meth:2 cens:0 est:0)
  [81/236] Processing NCT01036061... ✓ (ep:8 meth:0 cens:0 est:0)
  [82/236] Processing NCT01039961... ✓ (ep:1 meth:0 cens:0 est:0)
  [83/236] Processing NCT01059617... ✓ (ep:12 meth:6 cens:0 est:0)
  [84/236] Processing NCT01077531... ✓ (ep:3 meth:0 cens:0 est:0)
  [85/236] Processing NCT01128621... ✓ (ep:7 meth:9 cens:0 est:0)
  [86/236] Processing NCT01148459... ✓ (ep:1 meth:0 cens:0 est:0)
  [87/236] Processing NCT01154101... ✓ (ep:6 meth:6 cens:0 est:0)
  [88/236] Processing NCT01192191... ✓ (ep:2 meth:0 cens:0 est:0)
  [89/236] Processing NCT01209052... ✓ (ep:1 meth:0 cens:0 est:0)
  [90/236] Processing NCT01244984... ✓ (ep:1 meth:1 cens:0 est:0)
  [91/236] Processing NCT01258608... ✓ (ep:1 meth:1 cens:1 est:1)
  [92/236] Processing NCT01313676... ✓ (ep:1 meth:1 cens:1 est:1)
  [93/236] Processing NCT01332292... ✓ (ep:15 meth:0 cens:0 est:0)
  [94/236] Processing NCT01340911... ✓ (ep:2 meth:0 cens:0 est:0)
  [95/236] Processing NCT01358825... ✓ (ep:10 meth:9 cens:0 est:0)
  [96/236] Processing NCT01366534... ✓ (ep:5 meth:0 cens:0 est:0)
  [97/236] Processing NCT01367743... ✓ (ep:1 meth:1 cens:0 est:1)
  [98/236] Processing NCT01376167... ✓ (ep:1 meth:1 cens:1 est:1)
  [99/236] Processing NCT01376388... ✓ (ep:2 meth:0 cens:0 est:0)
  [100/236] Processing NCT01379937... ✓ (ep:2 meth:3 cens:0 est:0)
  [101/236] Processing NCT01381536... ✓ (ep:1 meth:0 cens:0 est:0)
  [102/236] Processing NCT01416324... ✓ (ep:5 meth:0 cens:0 est:0)
  [103/236] Processing NCT01428479... ✓ (ep:2 meth:2 cens:0 est:0)
  [104/236] Processing NCT01431976... ✓ (ep:1 meth:0 cens:0 est:0)
  [105/236] Processing NCT01462344... ✓ (ep:2 meth:2 cens:0 est:2)
  [106/236] Processing NCT01462357... ✓ (ep:3 meth:3 cens:0 est:0)
  [107/236] Processing NCT01475721... ✓ (ep:2 meth:1 cens:0 est:2)
  [108/236] Processing NCT01476046... ✓ (ep:10 meth:0 cens:0 est:0)
  [109/236] Processing NCT01484496... ✓ (ep:1 meth:1 cens:0 est:1)
  [110/236] Processing NCT01545570... ✓ (ep:2 meth:0 cens:0 est:0)
  [111/236] Processing NCT01551758... ✓ (ep:1 meth:1 cens:0 est:1)
  [112/236] Processing NCT01573000... ✓ (ep:11 meth:0 cens:0 est:0)
  [113/236] Processing NCT01573819... ✓ (ep:11 meth:10 cens:0 est:0)
  [114/236] Processing NCT01641692... ✓ (ep:19 meth:5 cens:0 est:0)
  [115/236] Processing NCT01648140... ✓ (ep:0 meth:0 cens:0 est:0)
  [116/236] Processing NCT01663714... ✓ (ep:2 meth:0 cens:0 est:0)
  [117/236] Processing NCT01702363... ✓ (ep:2 meth:0 cens:0 est:0)
  [118/236] Processing NCT01725126... ✓ (ep:12 meth:8 cens:0 est:0)
  [119/236] Processing NCT01777282... ✓ (ep:2 meth:0 cens:0 est:0)
  [120/236] Processing NCT01808482... ✓ (ep:2 meth:0 cens:0 est:0)
  [121/236] Processing NCT01827839... ✓ (ep:8 meth:0 cens:0 est:0)
  [122/236] Processing NCT01831791... ✓ (ep:0 meth:15 cens:0 est:0)
  [123/236] Processing NCT01849016... ✓ (ep:1 meth:1 cens:0 est:1)
  [124/236] Processing NCT01853878... ✓ (ep:1 meth:1 cens:0 est:1)
  [125/236] Processing NCT01868035... ✓ (ep:1 meth:1 cens:0 est:0)
  [126/236] Processing NCT01899703... ✓ (ep:16 meth:0 cens:0 est:0)
  [127/236] Processing NCT01899742... ✓ (ep:1 meth:1 cens:0 est:1)
  [128/236] Processing NCT01929863... ✓ (ep:12 meth:0 cens:0 est:0)
  [129/236] Processing NCT01953549... ✓ (ep:2 meth:1 cens:0 est:1)
  [130/236] Processing NCT01978145... ✓ (ep:1 meth:1 cens:0 est:0)
  [131/236] Processing NCT01999842... ✓ (ep:6 meth:3 cens:0 est:0)
  [132/236] Processing NCT02045797... ✓ (ep:1 meth:1 cens:0 est:1)
  [133/236] Processing NCT02100644... ✓ (ep:2 meth:2 cens:0 est:2)
  [134/236] Processing NCT02105974... ✓ (ep:1 meth:1 cens:0 est:1)
  [135/236] Processing NCT02124798... ✓ (ep:1 meth:1 cens:0 est:0)
  [136/236] Processing NCT02135354... ✓ (ep:1 meth:0 cens:1 est:1)
  [137/236] Processing NCT02145468... ✓ (ep:1 meth:1 cens:1 est:1)
